町丁字名,世帯数,総数,0 ～,5 ～,10～,15～,20～,25～,30～,35～,40～,45～,50～,55～,60～,65～,70～,75～,80～,85～,90～,95～,100歳
総数,"255,254","500,395","15,931","18,554","19,431","20,653","27,985","31,978","30,034","29,805","31,706","35,284","42,734","37,774","29,660","24,354","27,117","29,983","24,523","14,760","6,359","1,556",214
松戸,"9,957","17,483",598,545,589,566,"1,099","1,637","1,515","1,232","1,212","1,261","1,456","1,248","1,053",810,739,799,569,338,161,47,9
小山,"2,715","5,549",150,201,220,261,341,286,275,306,345,427,535,407,364,306,337,290,261,151,69,16,1
本町,958,"1,382",46,38,26,21,61,174,157,121,133,131,113,74,65,55,43,43,35,23,18,4,1
二十世紀が丘柿の木町,287,623,24,19,27,26,42,37,19,33,38,49,45,44,35,31,34,48,36,22,11,3,－
二十世紀が丘萩町,894,"1,690",56,56,48,52,93,97,110,112,90,112,148,135,93,94,107,103,99,56,24,4,1
二十世紀が丘美野里町,523,"1,136",34,56,51,55,72,78,80,72,76,67,98,85,63,66,44,45,53,28,13,－,－
二十世紀が丘中松町,345,708,47,30,17,31,34,45,73,54,45,48,57,31,34,32,25,40,41,15,7,1,1
二十世紀が丘丸山町,332,709,24,39,26,32,39,47,40,43,47,52,66,56,37,27,31,35,41,11,11,5,－
二十世紀が丘戸山町,369,863,27,40,27,39,46,32,43,37,45,42,76,80,71,44,52,77,41,33,9,2,－
二十世紀が丘梨元町,295,614,18,31,18,29,31,27,41,33,28,29,72,42,36,27,38,46,33,20,11,3,1
上矢切,"2,079","4,446",141,200,224,213,211,234,233,301,348,340,363,333,233,221,222,239,210,122,47,10,1
中矢切,596,"1,199",55,66,51,54,57,77,79,100,100,84,108,95,49,37,53,49,42,27,10,6,－
下矢切,"1,986","3,703",105,97,115,106,199,243,217,225,207,223,307,271,243,199,227,256,207,147,81,26,2
栗山,"1,234","2,123",42,68,87,88,159,181,148,129,166,191,174,133,95,88,93,115,77,57,25,6,1
三矢小台1丁目,237,475,19,16,18,14,16,28,43,24,26,30,43,29,43,21,25,32,18,17,13,－,－
三矢小台2丁目,349,739,37,33,28,27,44,45,28,57,47,57,52,53,51,26,32,39,34,29,19,1,－
三矢小台3丁目,482,"1,055",42,40,49,70,49,59,51,78,55,75,101,92,62,42,43,44,57,30,11,5,－
三矢小台4丁目,431,893,29,42,24,33,42,58,61,59,51,53,67,69,55,47,41,68,48,27,13,6,－
三矢小台5丁目,526,"1,142",29,34,49,57,73,55,58,52,48,67,100,104,90,69,60,69,66,43,15,4,－
上本郷,"9,378","17,396",534,584,637,688,"1,053","1,384","1,219","1,094","1,135","1,166","1,541","1,432","1,053",831,799,885,684,430,191,55,1
北松戸1丁目,444,561,8,5,1,8,83,106,55,41,26,35,38,26,28,28,25,20,17,6,4,1,－
北松戸2丁目,781,"1,357",43,36,47,55,92,135,109,103,71,112,118,126,78,45,59,50,38,26,11,3,－
北松戸3丁目,454,717,8,16,8,15,56,72,41,44,41,51,65,64,52,36,31,44,45,16,8,4,－
南花島,227,440,12,12,16,10,14,38,32,29,26,28,21,43,43,38,24,26,8,8,9,3,－
松戸新田,"7,697","15,473",446,578,672,764,896,993,881,860,963,"1,205","1,456","1,140",983,738,774,844,652,394,193,34,7
仲井町1丁目,469,800,23,16,12,32,58,55,65,38,43,55,78,64,57,50,42,45,33,18,12,4,－
仲井町2丁目,464,743,22,17,12,15,49,69,74,61,39,45,48,54,48,52,37,31,22,24,17,6,1
仲井町3丁目,392,675,20,9,16,14,36,46,42,41,35,35,67,54,59,49,45,34,26,24,18,5,－
稔台,369,904,25,41,63,57,35,44,31,38,65,81,84,52,55,47,50,58,43,20,12,3,－
岩瀬,"2,384","4,398",130,158,153,140,239,333,242,322,306,296,359,346,241,216,226,260,211,140,57,22,1
胡録台,"2,807","6,179",249,326,289,277,326,340,372,431,428,440,501,528,370,289,258,286,230,152,76,10,1
小根本,"1,702","3,260",105,158,164,108,174,301,251,242,282,278,243,276,210,134,113,92,55,45,19,8,2
竹ケ花,897,"1,574",46,41,32,50,94,130,145,107,102,93,130,109,93,86,87,81,69,46,22,6,5
