name,Price/m^2
本町,1135333
松戸（町名）,509200
新松戸（町名）,423714
日暮,313250
岩瀬,274666
上本郷（町名）,250200
吉井町,226000
樋野口,214000
稔台,204666
仲井町,204500
横須賀,202000
二ツ木,185500
南花島,181333
胡録台,179000
大谷口,169000
新作,169000
新松戸南,166000
二十世紀が丘,165000
松飛台（町名）,162000
三矢小台,160000
小金きよしケ丘,156000
下矢切,151500
西馬橋,150500
松戸新田（町名）,146600
牧の原,143000
小金清志町,140000
五香南,136000
大金平,135000
千駄堀,132500
中和倉,129000
五香西,128500
八ケ崎,119571
五香（町名）,119000
小金原,118000
串崎南町,118000
中金杉,110000
上矢切,106000
六高台,103500
古ケ崎,103000
和名ケ谷,94000
