name,train line,lat,lon,Passengers 1(Multiple by 2),Passengers 2,Total passengers
松戸駅,JR/京成,35.79766784,139.9027206,88200,93556,269956
新松戸・幸谷駅,JR/流鉄,35.82578615,139.921042,35188,4139,74515
東松戸駅,JR/流鉄,35.77053959,139.9440016,20753,10587,62680
馬橋駅,JR/流鉄,35.81171609,139.9175401,23022,2909,48953
八柱・新八柱駅,JR/京成,35.7916111,139.9381605,23146,40986,87278
北松戸駅,JR,35.80056334,139.9117392,19704,0,39408
北小金駅,JR,35.83334008,139.9307525,21322,0,42644
矢切駅,北総,35.75743788,139.8998696,4165,0,8330
秋山駅,北総,35.76538924,139.930875,4040,0,8080
松飛台駅,北総,35.77549979,139.957607,2571,0,5142
小金城趾駅,流鉄,35.83585424,139.917753,0,1670,1670
六実駅,東武,35.79385242,139.9994606,6247,0,12494
上本郷駅,京成,35.78987051,139.916537,0,7085,7085
松戸新田駅,京成,35.79077101,139.923449,0,7265,7265
みのり台駅,京成,35.78952753,139.9297129,0,9092,9092
常盤平駅,京成,35.80355505,139.9502072,0,18432,18432
五香駅,京成,35.79694835,139.9660912,0,27541,27541
元山駅,京成,35.79037703,139.9759367,0,15607,15607
