name,lat,lon,eligible_voters,votes,turnout
松戸市役所,35.78780853,139.9037627,8068,4431,54.92
松戸市立第一中学校,35.78266375,139.9068761,1498,843,56.28
松戸市民会館,35.78122613,139.9011909,5605,3256,58.09
陣ヶ前自治会館,35.77400045,139.9081391,2812,1402,49.86
野菊野団地集会所,35.77926848,139.9147319,5196,2781,53.52
松戸市立和名ケ谷小学校,35.77809274,139.9242271,5429,2633,48.5
松戸市立稔台小学校,35.78407098,139.9344206,6546,3349,51.16
松戸市稔台市民センター,35.78836042,139.9303494,7116,3461,48.64
松戸市立寒風台小学校,35.79536853,139.9271152,4756,2525,53.09
松戸市立旭町小学校,35.81500498,139.9019513,2988,1434,47.99
松戸市立松ヶ丘小学校,35.78605124,139.9166531,8140,4270,52.46
松戸市立上本郷第二小学校,35.7923067,139.9163819,6505,3312,50.91
松戸運動公園武道館,35.79677201,139.9256409,3079,1635,53.1
松戸市立上本郷小学校,35.79901628,139.9187187,5040,2702,53.61
上本郷第一会館,35.79667801,139.9119478,4946,2551,51.58
さかえ幼稚園,35.80606659,139.9070125,4019,1896,47.18
栄町八丁目会館,35.81034546,139.9040862,3631,1752,48.25
松戸市立古ケ崎小学校,35.80712069,139.8992982,5791,2543,43.91
松戸市立古ケ崎中学校,35.8050293,139.8945248,1970,918,46.6
松戸市古ケ崎市民センター,35.80381711,139.9012356,2683,1337,49.83
松戸市立北部小学校,35.79266243,139.9034834,5212,2719,52.17
旧松戸市立古ケ崎南小学校,35.8071381,139.8995342,3491,1715,49.13
松戸青少年会館樋野口分館,35.79177643,139.8957853,3317,1783,53.75
松戸市立中部小学校,35.78543663,139.8962924,4923,2702,54.89
松戸市文化ホール,35.78270272,139.8994785,2211,1197,54.14
松戸市立南部小学校,35.77515698,139.8946936,3424,1739,50.79
上矢切第三町会公民館,35.77399066,139.8889406,2366,1139,48.14
松戸市立第二中学校,35.77199685,139.8983924,2363,1286,54.42
松戸市立矢切小学校,35.76330218,139.8980568,2329,1206,51.78
矢切幼稚園,35.75847517,139.899231,4041,2102,52.02
松戸市役所矢切支所,35.76668135,139.900869,3191,1703,53.37
松戸市立柿ノ木台小学校,35.77183888,139.9050986,5666,3055,53.92
松戸市立大橋小学校,35.77104427,139.9150303,4298,2152,50.07
秋山集会所,35.76245711,139.9276764,4074,2181,53.53
松戸市東部市民センター,35.75815054,139.9351931,4896,2245,45.85
高塚団地集会所,35.75559017,139.9408369,4954,2494,50.34
松戸市立東部小学校,35.76821479,139.9317334,3586,1937,54.02
ひがまつテラス,35.77016827,139.9477504,7153,3834,53.6
松戸市立河原塚小学校,35.78405195,139.9390359,5843,2921,49.99
泉ケ丘会館,35.77518018,139.9672365,5073,2392,47.15
松戸市松飛台市民センター,35.785151,139.9650703,2012,913,45.38
松戸市立松飛台第二小学校,35.79049173,139.969372,3592,1856,51.67
松戸市立松飛台小学校,35.78731221,139.9626235,3349,1758,52.49
松戸市八柱市民センター,35.79045995,139.9460486,4240,2388,56.32
松戸市立牧野原小学校,35.79246542,139.9520633,5052,2757,54.57
松戸市立常盤平第二小学校,35.80012631,139.9585165,7183,3704,51.57
松戸市常盤平市民センター,35.79893719,139.9534363,5362,2696,50.28
松戸市立常盤平第一小学校,35.79800039,139.9500275,4903,2654,54.13
松戸市立常盤平第三小学校,35.79651523,139.9434497,4513,2480,54.95
日暮町内会館,35.78990314,139.9410955,4049,2136,52.75
門前町会集会所,35.79321279,139.9371305,5049,2735,54.17
千駄堀集会所,35.80155068,139.9348916,2161,1117,51.69
松戸市立高木小学校,35.80745359,139.9434692,1590,814,51.19
金ケ作自治会館,35.80531719,139.9517358,2069,1050,50.75
